1 5 1 380147 1 8
2 6 2 21324 4 54
3 7 3 393537 1 6
4 8 4 400097 1 18
5 20 16 395616 1 715
6 22 18 21324 2 88
7 31 27 407820 0 433
8 32 28 425581 0 11
9 33 29 464276 5 37
10 34 29 11013 1 25
11 36 31 464276 2 34
12 37 32 21324 2 9
13 38 32 407688 1 9
14 39 32 465183 1 9
15 40 32 464731 1 9
16 41 32 407881 1 8
17 42 32 407820 1 8
18 43 32 465236 1 8
19 44 33 21324 1 69
20 45 33 407688 1 69
21 46 33 465183 1 69
22 47 33 464731 1 69
23 48 33 407881 2 68
24 49 33 407820 1 68
25 50 33 465236 1 68
26 52 35 464269 2 66
27 53 36 494076 1 4
28 54 37 21324 0 3
29 55 37 11013 1 21
30 56 37 494076 2 30
31 57 38 404668 1 8
32 58 38 464731 1 21
33 60 40 464276 2 65
34 62 42 499084 1 23
35 63 43 404668 1 16
36 64 43 405835 2 16
37 65 43 497780 0 0
38 66 44 464276 4 32
39 69 47 498852 0 0
40 70 48 21324 1 12
41 71 48 407688 2 13
42 72 48 464731 1 13
43 73 48 539990 0 6
44 74 48 539976 0 7
45 75 48 499752 1 13
46 76 48 407881 1 8
47 77 48 465236 1 13
48 78 48 53095 1 12
49 79 48 489382 1 8
50 80 49 21324 1 72
51 81 49 407688 2 73
52 82 49 464731 1 73
53 83 49 539990 1 66
54 84 49 539976 1 67
55 85 49 499752 1 73
56 86 49 407881 1 68
57 87 49 465236 1 73
58 88 49 53095 1 72
59 89 49 489382 1 68
60 90 50 21324 1 132
61 91 50 407688 1 133
62 92 50 464731 1 133
63 93 50 539990 1 126
64 94 50 539976 1 127
65 95 50 499752 1 133
66 96 50 465236 1 133
67 97 50 53095 1 132
68 98 51 21324 1 192
69 99 51 407688 1 193
70 100 51 464731 1 193
71 101 51 539990 1 186
72 102 51 539976 1 187
73 103 51 499752 1 193
74 104 51 465236 1 193
75 105 51 53095 1 192
76 106 52 21324 1 252
77 107 52 407688 1 253
78 108 52 464731 1 253
79 109 52 539990 1 246
80 110 52 539976 1 247
81 111 52 499752 1 253
82 112 52 465236 1 253
83 113 52 53095 1 252
84 114 53 21324 1 312
85 115 53 539990 1 306
86 116 53 539976 1 307
87 117 53 499752 1 313
88 118 53 53095 1 312
89 119 54 407829 1 11
90 120 55 553346 0 5
91 121 55 407829 1 31
92 122 56 407688 0 6
93 123 57 407881 0 0
94 124 58 553349 0 2
95 125 58 464731 0 2
96 126 58 553381 0 3
97 127 58 539976 0 2
98 128 58 499752 0 3
99 129 58 539983 0 2
100 130 58 407881 0 3
101 131 59 597161 1 24
102 132 59 597167 1 24
103 133 59 597170 1 6
104 134 59 597173 1 6
105 135 59 571609 1 24
106 136 59 584593 1 24
107 137 59 571559 1 24
108 138 59 584716 1 24
109 139 59 566600 1 25
110 140 60 407829 1 9
111 147 67 768298 0 5
112 149 69 793090 1 60
113 150 70 499752 1 14
114 151 70 797619 1 9
115 152 70 797639 1 7
116 154 72 797835 1 66
117 157 75 768298 0 0
118 158 76 21324 2 27
119 161 78 768298 1 8
120 162 79 21324 1 20
121 163 80 768298 2 13
122 164 81 21324 1 2
123 166 83 768298 1 27
124 167 84 21324 0 6
125 168 85 768298 1 47
126 170 87 797920 3 103
127 174 91 797639 0 3
128 178 95 768298 2 39
129 179 96 842995 2 15
130 180 96 597182 0 0
131 183 98 768298 4 35
132 184 99 842995 2 24
133 185 99 768298 3 47
134 188 102 842995 1 204
135 192 106 768298 2 194
136 197 111 835223 1 262
137 199 113 851914 1 68
138 263 177 768298 1 999
139 265 179 912989 1 9
140 275 188 768298 6 266
141 276 189 928178 1 9
142 277 190 21324 1 14
143 278 191 768298 6 59
144 279 192 21324 5 38
145 283 195 768298 7 299
146 286 198 912989 1 171
147 288 200 768298 7 101
148 289 201 912989 1 52
149 290 201 768298 7 161
150 291 202 912989 1 112
151 292 202 768298 7 221
152 293 202 508500 1 18
153 294 203 768298 8 281
154 295 203 508500 4 78
155 297 205 21324 0 6
156 299 207 928178 1 9
157 301 208 768298 9 96
158 302 208 835223 1 37
159 304 210 768298 8 216
160 305 211 928178 0 4
161 306 212 21324 1 16
162 307 213 912989 0 1
163 308 214 928178 1 50
164 309 215 412205 0 0
165 310 215 464269 0 6
166 311 216 928178 2 7
167 312 217 797639 10 39
168 313 218 21324 1 5
169 314 218 405835 1 6
170 315 218 21706 1 6
171 316 218 797639 10 99
172 319 221 768298 7 151
173 320 222 912989 1 13
174 321 222 768298 7 211
175 322 223 912989 1 73
176 328 228 768298 2 266
177 329 229 912989 0 8
178 330 230 768298 2 22
179 332 232 1128322 1 84
180 333 232 768298 7 34
181 334 233 1128322 1 144
182 335 233 768298 4 94
183 336 234 1128322 1 204
184 337 234 768298 1 154
185 338 235 912989 1 8
186 339 235 1128322 1 264
187 340 235 768298 3 214
188 341 236 912989 1 68
189 342 236 1128322 1 324
190 343 236 768298 4 274
191 346 239 1128322 1 504
192 347 239 768298 1 25
193 351 243 1128322 0 2
194 353 245 768298 6 96
195 354 246 21324 1 8
196 355 246 768298 5 156
197 356 246 21706 1 7
198 357 246 1183174 1 4
199 361 250 768298 3 86
200 362 250 1228564 4 35
201 364 252 768298 6 206
